final_result,theory_hours,lab_hours,number_full_exam_done,cncf_try_numbers,location,born_year,selfassessment
0.2457542457542457,200,300,2.0,1.5,Suburb,1956,Good
0.5024975024975025,726,700,3.0,2.5,Downtown,1998,Excellent
0.0699300699300699,12,18,2.0,1.5,Rural,1975,Fair
0.2127872127872128,180,190,2.0,2.0,Urban,1982,Good
0.1518481518481518,100,100,2.0,1.5,Suburb,1963,Good
0.6413586413586414,850,850,3.0,2.5,Downtown,2001,Excellent
0.0269730269730269,12,10,2.0,1.0,Rural,1952,Fair
0.2777222777222777,120,130,3.0,2.0,Urban,1993,Good
0.0889110889110889,15,15,2.0,1.5,Suburb,1965,Fair
0.3656343656343656,330,300,3.0,2.0,Downtown,1986,Good
0.0489510489510489,13,10,2.0,1.5,Rural,1958,Fair
0.2327672327672327,110,110,3.0,2.0,Urban,1979,Good
0.1758241758241758,105,105,2.0,2.0,Suburb,1970,Good
0.4795204795204795,720,710,3.0,2.5,Downtown,1995,Excellent
0.0019980019980019,1,2,2.0,1.0,Rural,1948,Poor
0.6403596403596403,850,850,4.0,3.0,Mountain,2008,Excellent
0.2627372627372627,115,110,3.0,2.0,Urban,1988,Good
0.1258741258741259,88,89,2.0,1.5,Suburb,1962,Fair
0.3026973026973027,121,122,3.0,2.0,Downtown,1982,Good
0.0989010989010989,16,15,2.0,1.5,Rural,1972,Fair
0.2427572427572427,111,112,3.0,2.0,Urban,1980,Good
0.1908091908091908,110,105,3.0,2.0,Suburb,1975,Good
0.4325674325674326,700,690,3.0,2.5,Downtown,1990,Good
0.0119880119880119,4,2,2.0,1.0,Rural,1950,Poor
0.2857142857142857,120,122,3.0,2.5,Urban,1995,Good
0.1488511488511488,12,12,2.0,2.0,Suburb,1968,Fair
0.3376623376623376,300,300,3.0,2.0,Downtown,1984,Good
0.0759240759240759,5,7,2.0,1.5,Rural,1962,Fair
0.2527472527472527,130,130,3.0,2.0,Urban,1982,Good
0.1708291708291708,110,100,2.0,2.0,Suburb,1972,Good
0.4455544455544455,690,700,3.0,2.5,Downtown,1992,Excellent
0.0299700299700299,6,8,2.0,1.0,Rural,1953,Fair
0.2877122877122877,120,125,3.0,2.0,Urban,1990,Good
0.1078921078921078,50,60,2.0,1.5,Suburb,1960,Fair
0.3326673326673326,130,140,3.0,2.0,Downtown,1985,Good
0.0629370629370629,7,7,2.0,1.5,Rural,1959,Fair
0.2257742257742257,120,120,3.0,2.0,Urban,1978,Good
0.1658341658341658,89,99,2.0,2.0,Suburb,1970,Good
0.4985014985014985,710,710,3.0,2.5,Downtown,1997,Excellent
0.0,1,1,2.0,1.0,Rural,1947,Poor
0.2707292707292707,115,115,3.0,2.0,Urban,1990,Good
0.1308691308691308,85,83,2.0,1.5,Suburb,1965,Fair
0.3706293706293706,340,350,3.0,2.0,Downtown,1988,Good
0.0529470529470529,15,20,2.0,1.5,Rural,1960,Fair
0.2457542457542457,125,125,3.0,2.0,Urban,1981,Good
0.1808191808191808,110,110,2.0,2.0,Suburb,1972,Good
0.4605394605394605,700,700,3.0,2.5,Downtown,1993,Excellent
0.0089910089910089,5,8,2.0,1.0,Rural,1950,Poor
0.7322677322677322,855,860,4.0,3.0,Mountain,2010,Excellent
0.2797202797202797,131,133,3.0,2.5,Urban,1992,Good
0.1188811188811188,88,89,2.0,1.5,Suburb,1962,Fair
0.3456543456543456,135,140,3.0,2.0,Downtown,1986,Good
0.0859140859140859,15,5,2.0,1.5,Rural,1968,Fair
0.2357642357642357,122,122,3.0,2.0,Urban,1979,Good
0.1788211788211788,110,105,2.0,2.0,Suburb,1971,Good
0.4255744255744256,670,660,3.0,2.5,Downtown,1991,Good
0.0229770229770229,8,8,2.0,1.0,Rural,1952,Poor
0.2957042957042957,119,120,2.5,2.0,Urban,1997,Good
0.1428571428571428,110,115,2.0,2.0,Suburb,1966,Fair
0.3256743256743257,130,130,3.0,2.0,Downtown,1983,Good
0.0709290709290709,1,8,2.0,1.5,Rural,1961,Fair
0.2607392607392607,130,130,3.0,2.0,Urban,1984,Good
0.1888111888111888,111,112,3.0,2.0,Suburb,1974,Good
0.4805194805194805,800,800,3.0,2.5,Downtown,1994,Excellent
0.0149850149850149,5,15,2.0,1.0,Rural,1951,Poor
0.2807192807192807,135,135,3.0,2.0,Urban,1991,Good
0.1228771228771228,90,92,2.0,1.5,Suburb,1963,Fair
0.3426573426573426,135,142,3.0,2.0,Downtown,1985,Good
0.0789210789210789,7,12,2.0,1.5,Rural,1965,Fair
